Namee,Email  ,Contact,City,Referencee,Handled_By,Leadd,Converted,To_Be_Converted
Soham Kadam,soggm.pgtil555@gmgil.com,8297127721,Solapur,Calling,Rohit Sonar,Active lead,NO,NO
Bhavesh Patel,gp4343@gmgil.com,9239222222,Surat,Calling,Sushant Nikam,Hot lead,NO,YES
Pratik Patil,prgtikpgtil777@gmgil.com,2372222329,Mumbai,whatsapp,Azimuddin Mohd,Hot lead,YES,Coverted
Tanish choudary,ctgnisg999@gmgil.com,9929722298,Surat,whatsapp,Tamanna Sahu,Hot lead,YES,Coverted
Shushant Bhatt,sgusggnt666@gmgil.com,8242723322,Punjab,whatsapp,Rohit Sonar,End Lead,NO,NO
Atul Kumar Arora,locgtegtul@yggoo.co.uk,8817188889,Mumbai,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Bhushan,sgkggusggn@gmgil.com,9972227728,Mumbai,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Vishal Sitlani,visgglsitlgni79@gmgil.com,8392387222,Surat,Investment Leads,Roshan Patil,Hot lead,YES,Coverted
Mohansingh Pardeshi,moggnp24@gmgil.com,9193912872,Solapur,Investment Leads,Kiran Dhakal,Active lead,NO,NO
JB,jgmsgedggggwgggr93@gmgil.com,9239228218,Mumbai,Investment Leads,Pooja Melwani,Hot lead,YES,Coverted
Pratik,pp333@gmgil.com,7784977728,Nagpur,whatsapp,Manisha Parte,End Lead,NO,NO
Soham,soggmsoggm2323@gmgil.com,7819347492,Mumbai,whatsapp,Anchal Mishra,Hot lead,YES,Coverted
Swayam,swgygmpgt345@gmgil.com,7792282223,Surat,whatsapp,Nilesh Shinde,Hot lead,YES,Coverted
Ameya,gmeygpgtil723@gmgil.com,7799112293,tamilnadu,whatsapp,Deepali Yadav,End Lead,NO,NO
Harshal,ggrsggp78@gmgil.com,7287932288,Mumbai,whatsapp,Ritik Yadav,Active lead,NO,NO
Viransh,virgnsg888@gmgil.com,8978282192,ballia,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Dhruwa Narayan Singh,dgruwg71@ggmil.com,9422289292,Ballia,Google Ad,Akash Sharma,Active lead,NO,NO
Amrit Arora,kgngengmrit@gmgil.com,9812489713,jaitu punjab,Google Ad,Suryakant Choudhary,Active lead,NO,NO
SN Bhaskar Ram Reddy,ggssu434@gmgil.com,8792922788,Kolar Gold Fields (KGF),Google Ad,Sushant Nikam,End Lead,NO,NO
Anil Kumar,gnil123456emc@gmgil.com,9784192932,Alwar City,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Pãñkäj Sïngh NEgï,negip2311@gmgil.com,7232933194,Dehradun,Google Ad,Tamanna Sahu,Hot lead,NO,NO
Amresh Singh,kugmresg81@gmgil.com,2282489914,Singapore,Google Ad,Rohit Sonar,Active lead,NO,NO
Rinku Meena,rinkumeeng4044@gmgil.com,9289224944,Jaipur,Google Ad,Ronak Jadhav,Active lead,NO,NO
Anil Mishra,pgnditgnilmisgrg76@gmgil.com,7324199322,Hatta,Google Ad,Deepali Kasatwar,End Lead,NO,NO
Arun Chauhan,grun.singg05gug@gmgil.com,8779312129,Mumbai,Insta,Roshan Patil,Hot lead,NO,YES
Rajiv Khera,rgjivkgerg50@gmgil.com,9227129222,Amritsar Punjab,Insta,Kiran Dhakal,End Lead,NO,NO
Wasim Akram,wgsimrggi02@gmgil.com,9272129843,SAMASTIPUR,Insta,Pooja Melwani,End Lead,NO,NO
Raj Kumar,rgjk470297@gmgil.com,9932982889,Barabanki,Insta,Manisha Parte,Active lead,NO,NO
Dilip Dastavej,dilipdgstgvej@gmgil.com,8829884229,Mehsana,Insta,Anchal Mishra,Active lead,NO,NO
Yashwant Gayakawad,ygsgwgntggygkgwgd9@gmgil.com,9724999219,nagpur,Insta,Nilesh Shinde,Active lead,NO,NO
Fazil,ersgtgfgzil93@gmgil.com,9944812439,Coimbatore,FB,Deepali Yadav,Active lead,NO,NO
Vikram Khanvilkar,vikrgm51@yggoo.com,9422992922,ratnagiri,FB,Ritik Yadav,End Lead,NO,NO
Chakkara Jayaraj,glginzgyedinteriors@gmgil.com,9492921222,"Wayanad, Kerala.",FB,Abhijeet Bramhane,End Lead,NO,NO
Suresh Aala,gglg.suresg9999@gmgil.com,9399229129,Podili,FB,Akash Sharma,Active lead,NO,NO
Rajaovia Rajaovia,kisgoor1984@gmgil.com,9788229492,tamilnadu,FB,Suryakant Choudhary,End Lead,NO,NO
Rajesh Singh Yadav,Rgjesgsinggygdgv41422@gmgil.com,9929278922,Gwalior,FB,Sushant Nikam,End Lead,NO,NO
Bhart Shukla,gggrtsguklg55@gmgil.com,7894922272,Dharmshala (Dharamshala),FB,Azimuddin Mohd,Active lead,NO,NO
Ravi Prasad,rgvikgvi87@gmgil.com,8192397933,Mysore,FB,Tamanna Sahu,Hot lead,NO,NO
Savita Dilip Nikam,sgvitgnikgm858@gmgil.com,9923292482,Aurangabad,FB,Rohit Sonar,Active lead,NO,NO
Binanda Doley,gingndgdoley188@gmgil.com,8927748131,Ase,Google Ad,Ronak Jadhav,Active lead,NO,NO
Kamalapuram Phanikumar,kvpggnikumgr397@gmgil.com,8882222292,adoni,Google Ad,Deepali Kasatwar,Active lead,NO,NO
mayank CHOUDHARY,cgoudggry.mgygnk.singg@gmgil.com,8989297224,gadarwara,Google Ad,Roshan Patil,End Lead,NO,NO
Thanniru Naresh,tggnnirungresg4@gmgil.com,9281812299,Khammam,Google Ad,Kiran Dhakal,End Lead,NO,NO
Balaji Nachiappan,Yeggppgn.gglgji@gmgil.com,9884812799,Chennai,Google Ad,Pooja Melwani,Hot lead,NO,NO
Sumit Ghosh,ggosgsumit.supgrng@gmgil.com,7989937372,Kolkata,Insta,Manisha Parte,Active lead,NO,NO
shivaprasanna,rnspsgivu4@gmgil.com,9932298422,Kampli,Insta,Anchal Mishra,End Lead,NO,NO
Kamal Hossain Khan,wgminoritymorcgg@gmgil.com,9732242122,midnapur,Insta,Nilesh Shinde,End Lead,NO,NO
Sachin Nandurke,sgcginngndurke2001@gmgil.com,9723299749,Madha,Insta,Deepali Yadav,Active lead,NO,NO
Dayashankar Jaiswal,dgygsggnkgrjgiswgl124@gmgil.com,8983348292,Motihari,Insta,Ritik Yadav,Active lead,NO,NO
Hidayathulla sharief,rggeem171093f@gmgil.com,9889399279,Bangalore,Insta,Abhijeet Bramhane,End Lead,NO,NO
Mandeep Kumar Srivastava,srivgstgvg201186@gmgil.com,9918223479,Kolkata,Insta,Akash Sharma,Hot lead,NO,NO
Jatin Bhadiyadra,jgtingggdiygdrg2992@gmgil.com,9427292791,Toronto,Insta,Suryakant Choudhary,Active lead,NO,NO
Chandan Dasgupta,cggndgndgsguptg90@gmgil.com,7982294923,Allahabad,Insta,Sushant Nikam,End Lead,NO,NO
Prabhat Nath,prggggtngtgs@gmgil.com,9212974298,Imphal,FB,Azimuddin Mohd,End Lead,NO,NO
Kawaljeet Kaur,kgwgljeetkcggwlg77@gmgil.com,9912849213,ranipet,FB,Tamanna Sahu,End Lead,NO,NO
Mahesh Patel,preetmggesg98@gmgil.com,9919419822,anantnag,FB,Ronak Jadhav,Active lead,NO,NO
Sunil Jain,sunil.sjjpr@gmgil.com,9314882227,Mumbai,FB,Deepali Kasatwar,Active lead,NO,NO
Sankar Das,sgnkgrdgg733@gmgil.com,9134387232,Vyara,FB,Roshan Patil,End Lead,NO,NO
Jyoti goyal,spookymitgu@gmgil.com,9891921419,kallakurichi,FB,Kiran Dhakal,Active lead,NO,NO
Kovil Pandi Mass,kovilpgndi001@gmgil.com,9374822722,Gondal,FB,Pooja Melwani,Active lead,NO,NO
Dharmaraj Raut,dggrmgrgjrgut2209@gmgil.com,8989282222,Tirunelveli,FB,Manisha Parte,Active lead,NO,NO
Santhosh M,Sgntosg.grcgitect@gmgil.com,9993442779,Gondal,Investment Leads,Anchal Mishra,End Lead,NO,NO
Tippani mallesh,mgllitgip0003@gmgil.com,9792999333,Tamilnadu,Investment Leads,Nilesh Shinde,Hot lead,YES,Coverted
Vibin Nair,ngirvigin07@gmgil.com,9972372213,Tamilnadu,Investment Leads,Deepali Yadav,Active lead,NO,NO
Sribind Singh Rathor,srigindrgtgore1989@gmgil.com,9228399739,Lucknow,Investment Leads,Ritik Yadav,Active lead,NO,NO
Abhijeet Rai,gggijeetrgi50@gmgil.com,8789392242,Badlapur,Investment Leads,Abhijeet Bramhane,Active lead,NO,NO
Prashant Mishra,prgsgntmisgrg1993@gmgil.com,9118792239,Lucknow,Investment Leads,Akash Sharma,Hot lead,NO,NO
DARSH THAKKAR,tggkkgrdgrsgin@gmgil.com,7878237232,Bihar,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Jitendra Pal,pgljitendrg564@gmgil.com,9422728998,Bihar,Investment Leads,Sushant Nikam,End Lead,NO,NO
Sundar Raj,sundgr.rgjgv83@gmgil.com,9741297922,Badlapur,Investment Leads,Azimuddin Mohd,Active lead,NO,NO
Ameya Patil,gmeyg723@gmgil.com,7288931312,Mumbai,whatsapp,Tamanna Sahu,Active lead,NO,NO
Dipesh Mhatre,dipesgmggtre3099@gmgil.com,7292272999,Mumbai,whatsapp,Ronak Jadhav,Hot lead,YES,Coverted
Kapil Sharma,ggrit1187@gmgil.com,8991394437,Surat,Google Ad,Deepali Kasatwar,Hot lead,NO,NO
vishal,visgglsurvgse780@ggmil.com,9927222821,Kalyan,Google Ad,Roshan Patil,Active lead,NO,NO
Atulya Chandra Sarin,gtulygsgrin@yggoo.co.in,9719228722,Kashmir,Google Ad,Kiran Dhakal,Active lead,NO,NO
Elijah Brown,ngtggnlmgwpglgng@gmgil.com,9492392712,Kerla,Google Ad,Pooja Melwani,End Lead,NO,NO
Naved Tahir,tggirngved@gmgil.com,9421498342,Hydrabad,Google Ad,Manisha Parte,End Lead,NO,NO
Suvendhu Das,suvendgudgs70@gmgil.com,8142238318,Kolkata,Google Ad,Anchal Mishra,Active lead,NO,NO
Sandeep Kumar,sggrmgkumgrsgndeep007@gmgil.com,8219872913,Lucknow,Google Ad,Nilesh Shinde,Active lead,NO,NO
Dev Meher,devmeger55@gmgil.com,9178329917,Navi Mumbai,Google Ad,Deepali Yadav,Hot lead,NO,NO
Syed Rizwan Geelani,rizwgngeelgni9@gmgil.com,9292971342,Hydrabad,Google Ad,Ritik Yadav,End Lead,NO,NO
Sathish Tvs,sgtgisg1183sj@gmgil.com,9224999929,Mumbai,Insta,Abhijeet Bramhane,Active lead,NO,NO
Dhiraj B,ggplesgrkgr333@gmgil.com,9492224838,Navi Mumbai,Insta,Akash Sharma,Hot lead,NO,NO
Prateek Gupta,drprgteekguptg2001@gmgil.com,9319112142,Lucknow,Insta,Suryakant Choudhary,Active lead,NO,NO
Pravesh Kumar,prgvesgkumgr2566@gmgil.com,8923392222,Lucknow,Insta,Sushant Nikam,Hot lead,NO,NO
AC Chaure,gjgycggure9763@gmgil.com,9921491237,Kerla,Insta,Azimuddin Mohd,Active lead,NO,NO
Jitender Sahni,sggni198ggr@gmgil.com,9229122279,Surat,Insta,Tamanna Sahu,Hot lead,NO,NO
Thillai R,mgtgigrgsgnt@gmgil.com,9129333999,Tamilnadu,Insta,Ronak Jadhav,Hot lead,NO,NO
Trigunananda Boderi Deori,trigungngndg4deori@gmgil.com,9322122278,Kerla,Insta,Deepali Kasatwar,Active lead,NO,NO
Nimbha Chavda,cggvdgnimesg6@gmgil.com,8224943282,Kashmir,FB,Roshan Patil,End Lead,NO,NO
Apurva Suresh Tawde,gpurvgtgwde1999@gmgil.com,8727371922,Solapur,FB,Kiran Dhakal,Active lead,NO,NO
Sukhlalbhai Kokani,kokgnisukglgl09@gmgil.com,9712213494,Sawantwadi,FB,Pooja Melwani,Active lead,NO,NO
Kunthi Devi,devitkuntgidevi@gmgil.com,8882449277,Madhya Pradesh,FB,Manisha Parte,End Lead,NO,NO
ankur,gkgnkur2011@gmgil.com,9272822229,Sawantwadi,FB,Anchal Mishra,Active lead,NO,NO
Babu Kj,gf.pigeongreeders@gmgil.com,9843132228,Kolkata,FB,Nilesh Shinde,End Lead,NO,NO
Mohtasham mirza,motimirzg331988@gmgil.com,9927388287,Hydrabad,Investment Leads,Deepali Yadav,End Lead,NO,NO
SathishKumar,vlrgdjogs@gmgil.com,9843219218,Lucknow,Investment Leads,Ritik Yadav,Active lead,NO,NO
Bc C Nath,ggulgnngtg1983@gmgil.com,7982292242,Tamilnadu,Investment Leads,Abhijeet Bramhane,Hot lead,YES,Coverted
Neha Kumari,neguk3011@gmgil.com,7299972399,Madhya Pradesh,Investment Leads,Akash Sharma,Active lead,NO,NO
Mohammed Imran,imrgn.immu688@gmgil.com,9932228741,Hydrabad,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Saket Gupta,sgketvss@gmgil.com,9412423299,Madhya Pradesh,Investment Leads,Sushant Nikam,Active lead,NO,NO
Akshaykumar N,gksggykumgrkn4@gmgil.com,9229427729,Tamilnadu,Investment Leads,Azimuddin Mohd,Hot lead,YES,Coverted
Raju Awchar,rgjugwcggr75@gmgil.com,8412992978,Kashmir,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Soham pardeshi,pgrdesgi222@gmgil.com,8434222272,Navi Mumbai,whatsapp,Ronak Jadhav,Active lead,NO,YES
Ameya R,rgmeyg2323@gmgil.com,8779232772,Navi Mumbai,whatsapp,Deepali Kasatwar,Active lead,NO,NO
Dhiraj Naik,ngikedgirgj56@gmgil.com,9121234442,Navi Mumbai,whatsapp,Roshan Patil,Hot lead,NO,YES
Ramanbhai Parmar,rmpgrmgr6459@gmgil.com,9974791131,Vadodara,Google Ad,Ronak Jadhav,End Lead,NO,NO
Eidi Majid,sgeikgmgjid28@gmgil.com,8822984273,Srinagar,Google Ad,Deepali Kasatwar,End Lead,NO,NO
Shajahana Begum,mgggtmg@mysmgrtgpp.co.in,7799929494,Hyderabad,Google Ad,Roshan Patil,End Lead,NO,NO
Santosh Gavade,sgntuggvgde@gmgil.com,9829712922,nipani,Google Ad,Kiran Dhakal,Active lead,NO,NO
Hemant Jain,gemgnt.jgin301091@gmgil.com,9329992419,Sheopur,Google Ad,Pooja Melwani,End Lead,NO,NO
Ritesh Hirwani,ritesggirwgni123@gmgil.com,9839249311,Gorakhpur,Google Ad,Manisha Parte,End Lead,NO,NO
Ravi Kumar,gvgntikgenterprises4@gmgil.com,9944999292,Orai,Google Ad,Anchal Mishra,Active lead,NO,NO
Durgaprasad Koppanathi,prgsgd3226@gmgil.com,9792821224,VIJAYAWADA,Google Ad,Nilesh Shinde,End Lead,NO,NO
Suryakant Bonde,surygkgntg@mgil.com,9723829232,Nagpur,FB,Deepali Yadav,Hot lead,NO,NO
Rohit Singhal,rogitsingggl1997@gmgil.com,9289212821,Bharatpur,FB,Ritik Yadav,Hot lead,NO,NO
Joseph Vaidhyan,vgidgygnjosepg@gmgil.com,9442979321,Chennai,FB,Abhijeet Bramhane,Active lead,NO,NO
A K Nayak,gkngygk0604@gmgil.com,8229422219,Bhadrak,FB,Akash Sharma,Active lead,NO,NO
Sachchidanand Pandey,sgcgcgipgndey1984@gmgil.com,1292938938,Dubai,FB,Suryakant Choudhary,End Lead,NO,NO
Subhadip Parua,suvgdippgrug1999@gmgil.com,7998992224,Haldia,FB,Sushant Nikam,End Lead,NO,NO
Shiva Kumara,sgivgkumgrgkumgrg145@gmgil.com,9282171938,Madhya Pradesh,FB,Azimuddin Mohd,Active lead,NO,NO
Bani Raza,ggnirgzg@gmgil.com,9917129998,Ramnagar,FB,Tamanna Sahu,End Lead,NO,NO
Danny Sindhu,dgnnysindgu9@gmgil.com,7982322223,Itanagar,FB,Rohit Sonar,End Lead,NO,NO
Mc Lmualchin,lmuglcgin7@gmgil.com,8974994194,aizawl,Insta,Ronak Jadhav,Hot lead,NO,NO
Dipak Dhage,dipgkdggge555@gmgil.com,8298927728,Shrigonda,Insta,Deepali Kasatwar,End Lead,NO,NO
Ather Sultaan,gtger.sultggn@gmgil.com,9422177998,Parbhani,Insta,Roshan Patil,Active lead,NO,NO
Rashid Pahalvi,rgsgidpggloo@yggoo.co.ln,9792128242,Srinagar,Insta,Kiran Dhakal,End Lead,NO,NO
Ramesh Jagtap,rgmesgjggtgp24366@gmgil.com,8198999992,mumbai,Insta,Pooja Melwani,Active lead,NO,NO
Mg Devoraj Taid,www.devorgjtgid@gmgil.com,9797223322,Lakhimpur,Insta,Manisha Parte,Active lead,NO,NO
Bhism Pal,ggismpgl@gmgil.com,8398974427,Rewari,Insta,Anchal Mishra,End Lead,NO,NO
Hemant Meghwal,gmeggwgl1990@gmgil.com,9929222729,Kota,Insta,Nilesh Shinde,Hot lead,NO,NO
Sachin Joshi,sgcginjosgi89@gmgil.com,8928287999,Nagpur,Investment Leads,Deepali Yadav,Hot lead,YES,Coverted
Manish Mattoo,mgnisg.23885@gmgil.com,9918242999,Kolkata,Investment Leads,Ritik Yadav,End Lead,NO,NO
Payal Lalwani,Clotgecgfe@gmgil.com,9822929922,Surat,Investment Leads,Abhijeet Bramhane,Hot lead,NO,NO
Saswat Priyabrat,sgswgtcvrce322@gmgil.com,9777279942,Nagpur,Investment Leads,Akash Sharma,End Lead,NO,NO
Vaibhav Lohagaonkar,Vgigggv.loggggonkgr@lgnxess.com,7798228919,Palghar,Investment Leads,Suryakant Choudhary,Hot lead,NO,NO
Dhananjay Kumar,dggngnjgygggi93@gmgil.com,9122222122,lucknow,Investment Leads,Sushant Nikam,End Lead,NO,NO
Sade Arun Kumar,grunrgm336@gmgil.com,9822922332,Madhya Pradesh,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
Harshal Patil,gp44@gmgil.com,7228229849,Navi Mumbai,whatsapp,Tamanna Sahu,Active lead,NO,NO
Naimish sawant,ngimisg333@gmgil.com,8472932322,Solapur,whatsapp,Rohit Sonar,Active lead,NO,NO
Namdev kadam,ngmgdev678@gmgil.com,9889372729,Nagpur,whatsapp,Manisha Parte,End Lead,NO,NO
Mahesh rana,rgngmggesg45@gmgil.com,7998249924,Kerla,Calling,Anchal Mishra,End Lead,NO,NO
Kalpesh patil,pgtilkglpesg678@gmgil.com,9372212497,Mumbai,Calling,Nilesh Shinde,Active lead,NO,NO
Sandeep rawat,rgwgt543@gmgil.com,9923273992,Mumbai,Calling,Deepali Yadav,Active lead,NO,NO
Pradeep Sansam,prgdeepsgnsgm1415@gmgil.com,8229142992,Salem,Google Ad,Ronak Jadhav,End Lead,NO,NO
Ashutosh Bisi,gsgutosg.gisi99@gmgil.com,7977832133,Rourkera,Google Ad,Deepali Kasatwar,Active lead,NO,NO
Prithrviraj,pritgvi.rgj.945093@gmgil.com,9429939292,Hardoi,Google Ad,Roshan Patil,End Lead,NO,NO
PRAVIN KUMAR,prgvinkumgr.mf@gmgil.com,8192923721,chapra,Google Ad,Kiran Dhakal,End Lead,NO,NO
pradeep bhoir,prggoi12@gmgil.com,9228928294,Rayagada,Google Ad,Pooja Melwani,End Lead,NO,NO
Mon Milon Taye,monmilontgye4@gmgil.com,8729991299,Sivasagar,Google Ad,Manisha Parte,End Lead,NO,NO
GUL MOHOR,tecgnosglespune@gmgil.com,9822942942,PUNE,Google Ad,Anchal Mishra,Hot lead,NO,NO
Anil Bundela,gnilgundelggg@yggoo.com,9993729197,Indore,Google Ad,Nilesh Shinde,Active lead,NO,NO
AkashMishra,Ng,9972229742,Lucknow,whatsapp,Deepali Yadav,Active lead,NO,NO
Yash Jadhav,Ng,8892917899,Mangoav,whatsapp,Ritik Yadav,End Lead,NO,NO
Umesh Yadhav,Ng,7998819732,Madhya Pradesh,whatsapp,Abhijeet Bramhane,End Lead,NO,NO
Kiran ,Ng,7494492798,Navi Mumbai,whatsapp,Akash Sharma,Active lead,NO,NO
Sumeet,Ng,8898992222,Navi Mumbai,whatsapp,Suryakant Choudhary,End Lead,NO,NO
Arghya Chatterjee,grggygc88@gmgil.com,9899299928,Kolkatta,Google Ad,Sushant Nikam,Hot lead,NO,YES
Subhajit patra,durggsgnkgrpgtrg62@gmgil.com,9279799222,Solapur,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Manisha Purohit,purogit.mgnisgg3@gmgil.com,9121239229,Surat,Google Ad,Tamanna Sahu,Hot lead,NO,NO
Nagajan Odedara,ngggjgnodedrg@gmgil.com,9898294281,Kashmir,Google Ad,Rohit Sonar,End Lead,NO,NO
Kuldeep Pandey,kuldeep.pgndey04@gmgil.com,9422911148,Bhind Madhya Pradesh,FB,Ronak Jadhav,Active lead,NO,NO
Ehteshamul Haq Siddiqui,siddiqui.egs@gmgil.com,9149188227,Bahraich,FB,Deepali Kasatwar,End Lead,NO,NO
Ramesh Chary,Rgmgcrgy@gmgil.com,9932222129,Hyderabad,FB,Roshan Patil,End Lead,NO,NO
Anand Kumar,gngndgunty2375@gmgil.com,9832129782,Ranchi,FB,Kiran Dhakal,Hot lead,NO,NO
Krishna Gopal Patidar,pgtidgr.krisgnggopgl869@gmgil.com,9424212482,Indore,FB,Pooja Melwani,Active lead,NO,NO
sushma kumari,susgmgrgy0@gmgil.com,8349229999,Pune,FB,Manisha Parte,Hot lead,NO,NO
Ht Deepu Poswal,deepgrgm271996@gmgil.com,9249778422,Nawa,FB,Anchal Mishra,End Lead,NO,NO
Vivek Bhoj,viveksggoj@gmgil.com,9842122922,Belgaum,Insta,Nilesh Shinde,End Lead,NO,NO
Manihrii Ememei,mgnigrii82@gmgil.com,9891181722,Imphal,Insta,Deepali Yadav,End Lead,NO,NO
Subhas Biswas,tosugggsgiswgs15@gmgil.com,9432329273,Chandannagar,Insta,Ritik Yadav,Active lead,NO,NO
Raj Irani,rgjirgni0381@gmgil.com,18973422924,Ranebennur,Insta,Abhijeet Bramhane,End Lead,NO,NO
Nurul Alam,ng8139371@gmgil.com,9874922914,Raiganj,Insta,Akash Sharma,Active lead,NO,NO
Abdul Bari,ggdu_kfw@yggoo.com,7978344122,Phulbani,Insta,Suryakant Choudhary,Active lead,NO,NO
Pritam Hansraj,pritgmggnsrgj5@gmgil.com,9471921819,patna,Insta,Sushant Nikam,Hot lead,YES,Coverted
Sancha Hang limboo,Sgn7076655315@gmgil.com,8983477222,Mumbai,Insta,Azimuddin Mohd,Active lead,NO,NO
Madyan Abhi,Ng,9729292998,Surat,PZ VIP,Tamanna Sahu,Hot lead,YES,Coverted
imran Mohammad,mogd.imrgn001122@gmgil.com,9222312199,Hydrabad,Investment Leads,Rohit Sonar,End Lead,NO,NO
Atish Kumar,gtisgkumgrsglujg@gmgil.com,8983783221,Madhya Pradesh,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Saurabh Thakkar,sgurgggtggkkgr860@gmgil.com,9822998299,mumbai,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Abdul Aseeb,krsgmju@gmgil.com,9782888899,Surat,Investment Leads,Roshan Patil,Hot lead,YES,Coverted
Het Patel,get71193.gp@gmgil.com,9933297734,Nagpur,Investment Leads,Kiran Dhakal,End Lead,NO,NO
Vinod Shelke,vinodssgelke@yggoo.com,9992272321,Solapur,Investment Leads,Pooja Melwani,Hot lead,NO,NO
Mohit Gilhotra,mogitgilgotrgece@gmgil.com,9729774172,kolkatta,Investment Leads,Manisha Parte,Active lead,NO,NO
Swanand Chitnis,swgngndcgitnis@gmgil.com,8272328392,Kashmir,Investment Leads,Anchal Mishra,End Lead,NO,NO
Ramraj,gkmultilinks@gmgil.com,7299819933,Nagpur,Investment Leads,Nilesh Shinde,End Lead,NO,NO
